hospital,hos_long,hos_lat,patient,pat_long,pat_lat,distance_km,rn
Tainan Municipal Hospital,120.226743,22.968535,Carl,120.20684284649676,23.008603244273242,4,8
"Tainan Hospital Xinhua Branch, Ministry of Health and Welfare",120.336408,23.062491,Carl,120.20684284649676,23.008603244273242,10,9
Madou Sin-Lau Hospital,120.233033,23.179874,Carl,120.20684284649676,23.008603244273242,12,10
Jiali Chi Mei Medical Center,120.183662,23.181699,Carl,120.20684284649676,23.008603244273242,13,11
Liuying Chi Mei Medical Center,120.324705,23.289269,Carl,120.20684284649676,23.008603244273242,21,12
"Sinying Hospital, Ministry of Health and Welfare",120.313307,23.308848,Carl,120.20684284649676,23.008603244273242,22,13
"Chest hospital Datong Branch, Health and Welfare Ministry",120.211597,22.987205,Dale,120.21596408374477,22.994669140263895,1,1
"Tainan Hospital, Ministry of Health and Welfare",120.208805,22.99638,Dale,120.21596408374477,22.994669140263895,1,2
Tainan Sin-Lau Hospital,120.212807,22.989158,Dale,120.21596408374477,22.994669140263895,1,3
Kaohsiung Veterans General Hospital Tainan Branch,120.240268,22.997284,Dale,120.21596408374477,22.994669140263895,2,4
Kuo General Hospital,120.198827,22.994984,Dale,120.21596408374477,22.994669140263895,2,5
Tainan Municipal Hospital,120.226743,22.968535,Dale,120.21596408374477,22.994669140263895,2,6
"Chest Hospital, Ministry of Health and Welfare",120.241821,22.975271,Dale,120.21596408374477,22.994669140263895,3,7
An Nan Hospital,120.223192,23.064232,Dale,120.21596408374477,22.994669140263895,5,8
"Tainan Hospital Xinhua Branch, Ministry of Health and Welfare",120.336408,23.062491,Dale,120.21596408374477,22.994669140263895,9,9
Madou Sin-Lau Hospital,120.233033,23.179874,Dale,120.21596408374477,22.994669140263895,13,10
Jiali Chi Mei Medical Center,120.183662,23.181699,Dale,120.21596408374477,22.994669140263895,14,11
Liuying Chi Mei Medical Center,120.324705,23.289269,Dale,120.21596408374477,22.994669140263895,22,12
"Sinying Hospital, Ministry of Health and Welfare",120.313307,23.308848,Dale,120.21596408374477,22.994669140263895,23,13
Kaohsiung Municipal Da-Tung Hospital,120.296938,22.62715,Daniel,120.30884532763544,22.62631359462157,1,1
Kaohsiung Municipal Min-Sheng Hospita,120.323592,22.626657,Daniel,120.30884532763544,22.62631359462157,1,2
St. Joseph Hospital,120.323966,22.63316,Daniel,120.30884532763544,22.62631359462157,2,3
Yuan's General Hospita,120.297979,22.615753,Daniel,120.30884532763544,22.62631359462157,2,4
E-DA Dachang Hospital,120.3199,22.657727,Daniel,120.30884532763544,22.62631359462157,3,5
Kaohsiung Armed Forces General Hospital,120.34114,22.626236,Daniel,120.30884532763544,22.62631359462157,3,6
Kaohsiung Municipal CiJin Hospital,120.285113,22.59021,Daniel,120.30884532763544,22.62631359462157,3,7
Kaohsiung Municipal United Hospital,120.291194,22.654927,Daniel,120.30884532763544,22.62631359462157,3,8
Shing-Hou Hospital,120.335627,22.597673,Daniel,120.30884532763544,22.62631359462157,3,9
Da-Dong Hospital,120.362057,22.625364,Daniel,120.30884532763544,22.62631359462157,4,10
Kaohsiung Municipal Feng-Shan Hospital,120.362974,22.628244,Daniel,120.30884532763544,22.62631359462157,4,11
Antai Communtiy Hosptial,120.3617306,22.56540243,Daniel,120.30884532763544,22.62631359462157,6,12
Kaohsiung Armed Forces General Hospital Zuoying Branch,120.290414,22.701528,Daniel,120.30884532763544,22.62631359462157,6,13
Kaohsiung Municipal Siaogang Hospital,120.363101,22.567359,Daniel,120.30884532763544,22.62631359462157,6,14
Jiannren Hospital,120.328988,22.72362,Daniel,120.30884532763544,22.62631359462157,7,15
Chien-Yu Hospital,120.38668,22.503832,Daniel,120.30884532763544,22.62631359462157,10,16
E-DA cancer Hospital,120.364996,22.766107,Daniel,120.30884532763544,22.62631359462157,11,17
Kaohsiung Armed Forces General Hospital Gangshan Branch,120.285874,22.789456,Daniel,120.30884532763544,22.62631359462157,12,18
Kaohsiung Municipal Gangshan Hospital,120.294443,22.796612,Daniel,120.30884532763544,22.62631359462157,12,19
"Cishan Hospital, Ministry of Health and Welfare",120.483264,22.880796,Daniel,120.30884532763544,22.62631359462157,21,20
"Keelung Hospital, Ministry of Health and Welfare",121.748322,25.130456,Ed,121.74194174551627,25.127757605807094,1,1
Taiwan Miner's General Hospital,121.733254,25.107904,Ed,121.74194174551627,25.127757605807094,2,2
Tri-Service General Hospital Keelung Branch - Zhengrong Branch,121.764267,25.144625,Ed,121.74194174551627,25.127757605807094,2,3
Kaohsiung Armed Forces General Hospital,120.34114,22.626236,Eden,120.32821236947107,22.622135980058932,1,1
Kaohsiung Municipal Min-Sheng Hospita,120.323592,22.626657,Eden,120.32821236947107,22.622135980058932,1,2
St. Joseph Hospital,120.323966,22.63316,Eden,120.32821236947107,22.622135980058932,1,3
Shing-Hou Hospital,120.335627,22.597673,Eden,120.32821236947107,22.622135980058932,2,4
Yuan's General Hospita,120.297979,22.615753,Eden,120.32821236947107,22.622135980058932,2,5
Da-Dong Hospital,120.362057,22.625364,Eden,120.32821236947107,22.622135980058932,3,6
E-DA Dachang Hospital,120.3199,22.657727,Eden,120.32821236947107,22.622135980058932,3,7
Kaohsiung Municipal Da-Tung Hospital,120.296938,22.62715,Eden,120.32821236947107,22.622135980058932,3,8
Kaohsiung Municipal Feng-Shan Hospital,120.362974,22.628244,Eden,120.32821236947107,22.622135980058932,3,9
Kaohsiung Municipal CiJin Hospital,120.285113,22.59021,Eden,120.32821236947107,22.622135980058932,4,10
Kaohsiung Municipal United Hospital,120.291194,22.654927,Eden,120.32821236947107,22.622135980058932,4,11
Antai Communtiy Hosptial,120.3617306,22.56540243,Eden,120.32821236947107,22.622135980058932,5,12
Kaohsiung Municipal Siaogang Hospital,120.363101,22.567359,Eden,120.32821236947107,22.622135980058932,5,13
Kaohsiung Armed Forces General Hospital Zuoying Branch,120.290414,22.701528,Eden,120.32821236947107,22.622135980058932,6,14
Jiannren Hospital,120.328988,22.72362,Eden,120.32821236947107,22.622135980058932,8,15
Chien-Yu Hospital,120.38668,22.503832,Eden,120.32821236947107,22.622135980058932,9,16
E-DA cancer Hospital,120.364996,22.766107,Eden,120.32821236947107,22.622135980058932,11,17
Kaohsiung Armed Forces General Hospital Gangshan Branch,120.285874,22.789456,Eden,120.32821236947107,22.622135980058932,12,18
Kaohsiung Municipal Gangshan Hospital,120.294443,22.796612,Eden,120.32821236947107,22.622135980058932,13,19
"Cishan Hospital, Ministry of Health and Welfare",120.483264,22.880796,Eden,120.32821236947107,22.622135980058932,21,20
Rueifang Miner Hospital,121.80217,25.108602,Fanny,121.84514366200226,25.113575879115878,3,1
Cathay General Hospital Sijhih Branch,121.661084,25.072872,Fanny,121.84514366200226,25.113575879115878,12,2
National Taiwan University Hospital Jinshan Branch,121.628395,25.219556,Fanny,121.84514366200226,25.113575879115878,16,3
Cardinal Tien Hospital An Kang Branch,121.51787,25.011874,Fanny,121.84514366200226,25.113575879115878,22,4
Cardinal Tien Hospital An Kang Branch,121.51787,25.011874,Fanny,121.84514366200226,25.113575879115878,22,5
"New Taipei City Hospital, New Taipei City Government (Sanchong Branch)",121.490998,25.060821,Fanny,121.84514366200226,25.113575879115878,23,6
Cardinal Tien Hospital An Kang Branch,121.5038556,24.95367737,Fanny,121.84514366200226,25.113575879115878,25,7
Cardinal Tien Hospital An Kang Branch,121.5038556,24.95367737,Fanny,121.84514366200226,25.113575879115878,25,8
"Taipei Hospital, Ministry of Health and Welfare",121.459623,25.043241,Fanny,121.84514366200226,25.113575879115878,25,9
"New Taipei City Hospital, New Taipei City Government (Banqiao Branch)",121.457634,25.023779,Fanny,121.84514366200226,25.113575879115878,26,10
Fu Jen Catholic University Hospital,121.430799,25.039676,Fanny,121.84514366200226,25.113575879115878,27,11
Hsin-Tai General Hospital,121.434351,25.021432,Fanny,121.84514366200226,25.113575879115878,27,12
"New Taipei City Tucheng Hospital ",121.4487698,24.97632289,Fanny,121.84514366200226,25.113575879115878,27,13
"Lo-Sheng Sanatorium and Hospital, Ministry of Health and Welfare",121.407968,25.020372,Fanny,121.84514366200226,25.113575879115878,29,14
Ren Ai Hospital,121.420039,24.987188,Fanny,121.84514366200226,25.113575879115878,29,15
En Chu Kong Hospital,121.363008,24.938385,Fanny,121.84514366200226,25.113575879115878,33,16
National Yang-Ming University Hospital,121.754029,24.757853,Felix,121.74759042218828,24.746934672037288,1,1
Yilan Jen-Ai Hospital,121.754451,24.748723,Felix,121.74759042218828,24.746934672037288,1,2
Taipei Veterans General Hospital Yuanshan Branch,121.687824,24.721919,Felix,121.74759042218828,24.746934672037288,5,3
Camillian Hsing-Ho Hospital Chiao Hsi,121.769144,24.820582,Felix,121.74759042218828,24.746934672037288,6,4
"Lotung Pohai Hospital, Lo-Hsu Medical Foundation",121.772942,24.671778,Felix,121.74759042218828,24.746934672037288,6,5
Saint Mary's Hospital Luodong,121.77159,24.67187,Felix,121.74759042218828,24.746934672037288,6,6
Taipei Veterans General Hospital Su-Ao Branch,121.848611,24.614096,Felix,121.74759042218828,24.746934672037288,12,7
"Lotung Pohai Hospital, Lo-Hsu Medical Foundation",121.772942,24.671778,Gina,121.75293679544815,24.651293088221838,2,1
Saint Mary's Hospital Luodong,121.77159,24.67187,Gina,121.75293679544815,24.651293088221838,2,2
Taipei Veterans General Hospital Su-Ao Branch,121.848611,24.614096,Gina,121.75293679544815,24.651293088221838,7,3
Taipei Veterans General Hospital Yuanshan Branch,121.687824,24.721919,Gina,121.75293679544815,24.651293088221838,7,4
Yilan Jen-Ai Hospital,121.754451,24.748723,Gina,121.75293679544815,24.651293088221838,7,5
National Yang-Ming University Hospital,121.754029,24.757853,Gina,121.75293679544815,24.651293088221838,8,6
Camillian Hsing-Ho Hospital Chiao Hsi,121.769144,24.820582,Gina,121.75293679544815,24.651293088221838,12,7
Hsin-Tai General Hospital,121.434351,25.021432,Gordon,121.4562560368211,25.006211650804822,2,1
"New Taipei City Hospital, New Taipei City Government (Banqiao Branch)",121.457634,25.023779,Gordon,121.4562560368211,25.006211650804822,2,2
Fu Jen Catholic University Hospital,121.430799,25.039676,Gordon,121.4562560368211,25.006211650804822,3,3
"New Taipei City Tucheng Hospital ",121.4487698,24.97632289,Gordon,121.4562560368211,25.006211650804822,3,4
Ren Ai Hospital,121.420039,24.987188,Gordon,121.4562560368211,25.006211650804822,3,5
"Taipei Hospital, Ministry of Health and Welfare",121.459623,25.043241,Gordon,121.4562560368211,25.006211650804822,3,6
Cardinal Tien Hospital An Kang Branch,121.51787,25.011874,Gordon,121.4562560368211,25.006211650804822,4,7
Cardinal Tien Hospital An Kang Branch,121.51787,25.011874,Gordon,121.4562560368211,25.006211650804822,4,8
"Lo-Sheng Sanatorium and Hospital, Ministry of Health and Welfare",121.407968,25.020372,Gordon,121.4562560368211,25.006211650804822,4,9
Cardinal Tien Hospital An Kang Branch,121.5038556,24.95367737,Gordon,121.4562560368211,25.006211650804822,5,10
Cardinal Tien Hospital An Kang Branch,121.5038556,24.95367737,Gordon,121.4562560368211,25.006211650804822,5,11
"New Taipei City Hospital, New Taipei City Government (Sanchong Branch)",121.490998,25.060821,Gordon,121.4562560368211,25.006211650804822,5,12
En Chu Kong Hospital,121.363008,24.938385,Gordon,121.4562560368211,25.006211650804822,8,13
Cathay General Hospital Sijhih Branch,121.661084,25.072872,Gordon,121.4562560368211,25.006211650804822,14,14
National Taiwan University Hospital Jinshan Branch,121.628395,25.219556,Gordon,121.4562560368211,25.006211650804822,19,15
Rueifang Miner Hospital,121.80217,25.108602,Gordon,121.4562560368211,25.006211650804822,23,16
Ten-Chen General Hospital,121.229327,24.962795,Helen,121.24004993487364,24.958813124748392,1,1
Landseed International Hospital,121.20496,24.94612,Helen,121.24004993487364,24.958813124748392,3,2
Saint Paul's Hospital,121.312242,24.982288,Helen,121.24004993487364,24.958813124748392,5,3
Min-Sheng General Hospital,121.306314,25.016234,Helen,121.24004993487364,24.958813124748392,6,4
Taoyuan Armed Forces General Hospital,121.234867,24.877602,Helen,121.24004993487364,24.958813124748392,6,5
Ten Chen General Hospital,121.1571669,24.962516,Helen,121.24004993487364,24.958813124748392,6,6
"Taipei Veterans General Hospital, Taoyuan Branch",121.325155,25.00402,Helen,121.24004993487364,24.958813124748392,7,7
Yee Zen General Hospita,121.155427,24.916951,Helen,121.24004993487364,24.958813124748392,7,8
"Xinwu Branch, Taoyuan Hospital, Ministry of Health and Welfare",121.107189,24.969856,Helen,121.24004993487364,24.958813124748392,9,9
Saint Paul's Hospital,121.312242,24.982288,Henry,121.28555127767683,24.985722946125787,2,1
Min-Sheng General Hospital,121.306314,25.016234,Henry,121.28555127767683,24.985722946125787,3,2
"Taipei Veterans General Hospital, Taoyuan Branch",121.325155,25.00402,Henry,121.28555127767683,24.985722946125787,3,3
Ten-Chen General Hospital,121.229327,24.962795,Henry,121.28555127767683,24.985722946125787,4,4
Landseed International Hospital,121.20496,24.94612,Henry,121.28555127767683,24.985722946125787,6,5
Taoyuan Armed Forces General Hospital,121.234867,24.877602,Henry,121.28555127767683,24.985722946125787,9,6
Ten Chen General Hospital,121.1571669,24.962516,Henry,121.28555127767683,24.985722946125787,9,7
Yee Zen General Hospita,121.155427,24.916951,Henry,121.28555127767683,24.985722946125787,10,8
"Xinwu Branch, Taoyuan Hospital, Ministry of Health and Welfare",121.107189,24.969856,Henry,121.28555127767683,24.985722946125787,12,9
"Chia-Yi Hospital, Ministry of Health and Welfare",120.42936,23.481544,Ian,120.44088525105595,23.477468142417873,1,1
St. Martin De Porres Hospital Da-Ya Branch,120.467671,23.47635,Ian,120.44088525105595,23.477468142417873,2,2
Taichung Veterans General Hospital Chiayi Branch,120.42297,23.46755,Ian,120.44088525105595,23.477468142417873,2,3
"Chia-Yi Hospital, Ministry of Health and Welfare",120.42936,23.481544,Ina,120.4502109231641,23.47916649181356,2,1
St. Martin De Porres Hospital Da-Ya Branch,120.467671,23.47635,Ina,120.4502109231641,23.47916649181356,2,2
Taichung Veterans General Hospital Chiayi Branch,120.42297,23.46755,Ina,120.4502109231641,23.47916649181356,2,3
China Medical University Hsinchu Hospital,121.001989,24.824037,James,121.00612252046685,24.783348218782436,3,1
National Taiwan University Hospital Hsinchu Biomedical Park Hosputal Zhubei Branch,121.043718,24.80607,James,121.00612252046685,24.783348218782436,3,2
Da An Hospital,121.0081583,24.83498111,James,121.00612252046685,24.783348218782436,4,3
National Taiwan University Hospital Hsinchu Biomedical Park Hosputal Zhudong Branch,121.09328,24.719099,James,121.00612252046685,24.783348218782436,8,4
Taipei Veterans General Hospital Hsinchu Branch,121.100178,24.722617,James,121.00612252046685,24.783348218782436,8,5
"Catholic Mercy Hospital, Catholic Mercy Medical Foundation",121.045474,24.900496,James,121.00612252046685,24.783348218782436,9,6
National Taiwan University Hospital Hsinchu Biomedical Park Hosputal Zhubei Branch,121.043718,24.80607,Jenny,121.0765399017618,24.779969959803072,3,1
National Taiwan University Hospital Hsinchu Biomedical Park Hosputal Zhudong Branch,121.09328,24.719099,Jenny,121.0765399017618,24.779969959803072,5,2
Taipei Veterans General Hospital Hsinchu Branch,121.100178,24.722617,Jenny,121.0765399017618,24.779969959803072,5,3
China Medical University Hsinchu Hospital,121.001989,24.824037,Jenny,121.0765399017618,24.779969959803072,6,4
Da An Hospital,121.0081583,24.83498111,Jenny,121.0765399017618,24.779969959803072,6,5
"Catholic Mercy Hospital, Catholic Mercy Medical Foundation",121.045474,24.900496,Jenny,121.0765399017618,24.779969959803072,9,6
Tong Siao Kuang Tien Hospital,120.6803423,24.48958265,Kate,120.74179342799798,24.445006146635723,5,1
Lee General Hospital,120.65272,24.44182,Kate,120.74179342799798,24.445006146635723,6,2
Da Shuen Hospital,120.867619,24.422435,Kate,120.74179342799798,24.445006146635723,9,3
Hope Doctors Hospital,120.8215602,24.5517864,Kate,120.74179342799798,24.445006146635723,9,4
Sheiho Hosipital,120.8176672,24.54129848,Kate,120.74179342799798,24.445006146635723,9,5
"Miaoli General Hospital, Ministry of Health and Welfare",120.840405,24.575655,Kate,120.74179342799798,24.445006146635723,11,6
Chong Guang Hospital,120.9086611,24.6866964,Kate,120.74179342799798,24.445006146635723,20,7
Wei Gong Memorial Hospital,120.907345,24.687096,Kate,120.74179342799798,24.445006146635723,20,8
Hope Doctors Hospital,120.8215602,24.5517864,Kelly,120.81472577418553,24.55044357353456,1,1
Sheiho Hosipital,120.8176672,24.54129848,Kelly,120.81472577418553,24.55044357353456,1,2
"Miaoli General Hospital, Ministry of Health and Welfare",120.840405,24.575655,Kelly,120.81472577418553,24.55044357353456,3,3
Da Shuen Hospital,120.867619,24.422435,Kelly,120.81472577418553,24.55044357353456,10,4
Tong Siao Kuang Tien Hospital,120.6803423,24.48958265,Kelly,120.81472577418553,24.55044357353456,10,5
Chong Guang Hospital,120.9086611,24.6866964,Kelly,120.81472577418553,24.55044357353456,12,6
Wei Gong Memorial Hospital,120.907345,24.687096,Kelly,120.81472577418553,24.55044357353456,12,7
Lee General Hospital,120.65272,24.44182,Kelly,120.81472577418553,24.55044357353456,13,8
Puli Christian Hospital,120.946524,23.970449,Matt,120.92691093229374,23.942684645273747,3,1
Taichung Veterans General Hospital Puli Branch,120.995785,23.975834,Matt,120.92691093229374,23.942684645273747,5,2
Nantou Christian Hospital,120.683969,23.898903,Matt,120.92691093229374,23.942684645273747,16,3
Yumin Hospital,120.681661,23.960591,Matt,120.92691093229374,23.942684645273747,16,4
Chu Shang Show Chwan Hospital,120.713958,23.800162,Matt,120.92691093229374,23.942684645273747,17,5
Chu Shang Show Chwan Hospital,120.713958,23.800162,Monica,120.86230106017835,23.69191901453653,12,1
Nantou Christian Hospital,120.683969,23.898903,Monica,120.86230106017835,23.69191901453653,19,2
Puli Christian Hospital,120.946524,23.970449,Monica,120.86230106017835,23.69191901453653,20,3
Taichung Veterans General Hospital Puli Branch,120.995785,23.975834,Monica,120.86230106017835,23.69191901453653,22,4
Yumin Hospital,120.681661,23.960591,Monica,120.86230106017835,23.69191901453653,22,5
"Changhua Hospital,Ministry of Health and Welfare",120.527299,23.950225,Nick,120.48028498282595,23.95351795960453,3,1
Huilai Medical Care System Hongren Hospital,120.570296,23.9551145,Nick,120.48028498282595,23.95351795960453,6,2
Yuan Sheng Hospital,120.566404,23.95925,Nick,120.48028498282595,23.95351795960453,6,3
Yuanlin Christian Hospital,120.566953,23.96275,Nick,120.48028498282595,23.95351795960453,6,4
Cho Hospital,120.51554,23.872278,Nick,120.48028498282595,23.95351795960453,7,5
Lukang Christian Hopsital,120.438211,24.060379,Nick,120.48028498282595,23.95351795960453,8,6
Erlin Christian Hospital,120.363344,23.893608,Nick,120.48028498282595,23.95351795960453,9,7
Farlin Hospital,120.491865,24.110572,Nick,120.48028498282595,23.95351795960453,11,8
Huilai Medical Care System Hongren Hospital,120.570296,23.9551145,Nina,120.6046785032926,23.948798597929628,3,1
Yuan Sheng Hospital,120.566404,23.95925,Nina,120.6046785032926,23.948798597929628,3,2
Yuanlin Christian Hospital,120.566953,23.96275,Nina,120.6046785032926,23.948798597929628,3,3
"Changhua Hospital,Ministry of Health and Welfare",120.527299,23.950225,Nina,120.6046785032926,23.948798597929628,5,4
Cho Hospital,120.51554,23.872278,Nina,120.6046785032926,23.948798597929628,8,5
Farlin Hospital,120.491865,24.110572,Nina,120.6046785032926,23.948798597929628,14,6
Lukang Christian Hopsital,120.438211,24.060379,Nina,120.6046785032926,23.948798597929628,14,7
Erlin Christian Hospital,120.363344,23.893608,Nina,120.6046785032926,23.948798597929628,16,8
Hsinchu Cathay General Hospital,120.965227,24.798257,Olivia,120.99706218080428,24.796957419162748,2,1
Nan Men General Hospital,120.969682,24.80222,Olivia,120.99706218080428,24.796957419162748,2,2
Hsin Chu Armed Force Hospital,120.961966,24.816144,Olivia,120.99706218080428,24.796957419162748,3,3
Hsinchu Cathay General Hospital,120.965227,24.798257,Oscar,120.9603454565839,24.796056050203823,1,1
Nan Men General Hospital,120.969682,24.80222,Oscar,120.9603454565839,24.796056050203823,1,2
Hsin Chu Armed Force Hospital,120.961966,24.816144,Oscar,120.9603454565839,24.796056050203823,2,3
St. Joseph's Hospital,120.437343,23.708016,Paul,120.44385325178618,23.706956486033857,1,1
National Taiwan University Hosipital Yunlin Branch. Hu-Wei Region,120.4279313,23.73522006,Paul,120.44385325178618,23.706956486033857,3,2
Yunlin Christian Hospital,120.441373,23.780705,Paul,120.44385325178618,23.706956486033857,6,3
National Cheng Kung University Hospital Dou-Liou Branch,120.545879,23.701971,Paul,120.44385325178618,23.706956486033857,7,4
China Medical University Beigang Hospital,120.307229,23.590144,Paul,120.44385325178618,23.706956486033857,12,5
Yunlin Chang Gung Memorial Hospital,120.218628,23.795598,Paul,120.44385325178618,23.706956486033857,16,6
National Cheng Kung University Hospital Dou-Liou Branch,120.545879,23.701971,Penny,120.54164043578434,23.711650682162812,1,1
St. Joseph's Hospital,120.437343,23.708016,Penny,120.54164043578434,23.711650682162812,7,2
National Taiwan University Hosipital Yunlin Branch. Hu-Wei Region,120.4279313,23.73522006,Penny,120.54164043578434,23.711650682162812,8,3
Yunlin Christian Hospital,120.441373,23.780705,Penny,120.54164043578434,23.711650682162812,8,4
China Medical University Beigang Hospital,120.307229,23.590144,Penny,120.54164043578434,23.711650682162812,18,5
Yunlin Chang Gung Memorial Hospital,120.218628,23.795598,Penny,120.54164043578434,23.711650682162812,22,6
"Puzi Hospital, Ministry of Health and Welfare",120.234632,23.464349,Queena,120.29280885254774,23.47520531833939,4,1
Taichung Veterans General Hospital Wanqiao Branch,120.506664,23.487187,Queena,120.29280885254774,23.47520531833939,14,2
"Puzi Hospital, Ministry of Health and Welfare",120.234632,23.464349,Quentin,120.24564186584631,23.460316644233572,1,1
Taichung Veterans General Hospital Wanqiao Branch,120.506664,23.487187,Quentin,120.24564186584631,23.460316644233572,17,2
Antai Medical Care Cooperation Chaozhou Antai Hospital,120.546964,22.554031,Regan,120.5572052101263,22.5490904536583,1,1
Kaohsiung Armed Forces General Hospital Pingtung Branch,120.487574,22.633503,Regan,120.5572052101263,22.5490904536583,8,2
Fooyin University Hospital,120.452734,22.465199,Regan,120.5572052101263,22.5490904536583,9,3
Golden Hospital,120.514572,22.658334,Regan,120.5572052101263,22.5490904536583,9,4
